,growth_time,source,sell_prices_silver,seed,sell_prices_gold,description,general_store_price,night_market_price,sell_price_regular,egg_festival_price,sell_price_silver,traveling_cart_price_min,sell_prices_iridium,sell_price_iridium,artisan_sell_price,sell_price_gold,sell_prices_regular,traveling_cart_price_max,regrowth_time,base,oasis_price,xp,energy,season,jojamart_price,name
0,7 days,,62,Jazz Seeds,75,The flower grows in a sphere to invite as many butterflies as possible.,30,30,,,,100,100,,,,50,1000,,Artisan (+40%),,10 Farming XP,,Spring,37,Blue Jazz
1,12 days,,218,Cauliflower Seeds,262,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients.",80,80,,,,120,350,,,,175,1000,,Artisan (+40%),,23 Farming XP,,Spring,100,Cauliflower
2,10 days,"Dust Sprite,Traveling Cart",,Coffee Bean,,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.,,,15,,18,,,30,150g,22,,,2,,,4 Farming XP per harvest,Inedible,"Spring, Summer",,Coffee Bean
3,4 days,,75,Garlic Seeds,90,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.,40,40,,,,100,120,,,,60,1000,,Artisan (+40%),,12 Farming XP,,Spring,,Garlic
4,10 days,,50,Bean Starter,60,"A juicy little bean with a cool, crisp snap.",60,60,,,,100,80,,,,40,1000,3,Artisan (+40%),,9 Farming XP,,Spring,75,Green Bean
5,6 days,,137,Kale Seeds,165,The waxy leaves are great in soups and stir frys.,70,70,,,,105,220,,,,110,1000,,Artisan (+40%),,17 Farming XP,,Spring,87,Kale
6,4 days,,43,Parsnip Seeds,52,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.,20,20,,,,100,70,,,,35,1000,,Artisan (+40%),,8 Farming XP,,Spring,25,Parsnip
7,6 days,,100,Potato Seeds,120,A widely cultivated tuber.,50,50,,,,100,160,,,,80,1000,,Artisan (+40%),,14 Farming XP,,Spring,62,Potato
8,13 days,,275,Rhubarb Seeds,330,"The stalks are extremely tart, but make a great dessert when sweetened.",,,,,,150,440,,,,220,1000,,Artisan (+40%),100,26 Farming XP,Inedible,Spring,,Rhubarb
9,8 days,,150,Strawberry Seeds,180,"A sweet, juicy favorite with an appealing red color.",100,,,100,,,240,,,,120,,4,Artisan (+40%),,18 Farming XP,,Spring,,Strawberry
10,6 days,,37,Tulip Bulb,45,The most popular spring flower. Has a very faint sweet smell.,20,20,,,,100,60,,,,30,1000,,Artisan (+40%),,7 Farming XP,,Spring,25,Tulip
